Trustful 	Mandel	$$..
Honesty 	Paul	*$$*
Purposeful 	Ansel	..$$..
Generous 	Atwood	($$)
Coward 	Claude	)$$(
Intelligent 	Alva	$$!
Loyal 	Sid	$$``
Rational 	Philip	$$~
Cozy 	Mark	$$__
Jump-up 	Stanley	$$_
Just 	Sampson	$$==
Rational 	Werner	$$
Punctual 	Ron	$$
Inventive 	Cash	$$
Purposeful 	Sean	$$
Orderly 	Alston	$$
Qualified 	Myron	$$
Adaptable 	Morton	$$
Cunning 	Hilary	$$
Efficient 	Armand	$$
Amiable 	Eric	$$
Loyal 	Quincy	$$
Precise 	Gabriel	$$
Dynamic 	Elmer	$$
Coward 	Roderick	$$
Dutiful 	Nicholas	$$
Frugal 	Julius	$$
Aspiring 	Lionel	$$
Honest 	Norton	$$
Cozy 	Hale	$$
Crude 	Reuben	$$
Lovely 	Nathan	$$
Dynamic 	Stanford	$$
Reasonable 	Yale	$$
Unholiness 	Harry	$$
Capable 	Andrew	$$
Blinkered 	Sidney	$$
Precise 	Kennedy	$$
Romantic 	Timothy	$$
Good 	Clarence	$$
Initiative 	Upton	$$
Ambitious 	Philip	$$
Humble 	Ingemar	$$
Realistic 	Fabian	$$
Painstaking 	Mick	$$
Rational 	August	$$
Orderly 	Kevin	$$
Rapture 	Quintion	$$
Earnest 	Abraham	$$
Good 	Antonio	$$
Corrupt 	Ian	$$
Faceless 	Egbert	$$
Dynamic 	Aubrey	$$
Devoted 	Zachary	$$
Generous 	Jeff	$$
Ambitious 	Tobias	$$
Hateful 	Quintion	$$
Generous 	Kirk	$$
Clever 	Ken	$$
Forceful 	Hyman	$$
Lovely 	Leo	$$
Forceful 	Richard	$$
Coward 	Ferdinand	$$
Radient 	Alan	$$
Humble 	Arthur	$$
Honesty 	Kevin	$$
Frank 	Kent	$$
Humor 	Ronald	$$
Responsible 	King	$$
Violent 	Webb	$$
Modest 	Virgil	$$
Honesty 	Stev	$$
Qualified 	Marico	$$
Active 	Philip	$$
Capable 	Mick	$$
Honest 	Adam	$$
Rapture 	Leopold	$$
Brutal 	Abner	$$
Realistic 	Tony	$$
Honey 	Yale	$$
Precise 	Carr	$$
Helpful 	Max	$$
Liberal 	Phil	$$
Blinkered 	Armand	$$
Initiative 	Colby	$$
Beautiful 	Elton	$$
Humble 	Gavin	$$
Coward 	Jared	$$
Competent 	Webb	$$
Coward 	Sebastian	$$
Frank 	Steven	$$
Radient 	Lewis	$$
Radient 	Hogan	$$
Adroit 	Orville	$$
Reasonable 	Jack	$$
Honey 	Antoine	$$
Dependable 	Edgar	$$
Orderly 	Mike	$$
Coward 	Ashbur	$$
Efficient 	Alan	$$
Brutal 	Asa	$$
Creative 	Heather	$$
Dependable 	Yves	$$
Diplomatic 	Len	$$
Candid 	Ted	$$
Dedicated 	Tony	$$
Hospitable 	Larry	$$
Corrupt 	Abner	$$
Lovely 	Tyler	$$
Violent 	Tyler	
Hearty 	Isaac	
Amiable 	George	
Brutal 	Frank	
Hateful 	Arvin	
Punctual 	William	
Humble 	Walter	
Able 	Thomas	
Jump-up 	Jacob	
Hospitable 	Joyce	
Hearty 	Oliver	
Precise 	Stan	
Active 	Wilbur	
Beautiful 	Xavier	
Gentle 	Sam	
Rapture 	Howar	
Cynical 	Julius	
Active 	Silvester	
Dashing 	Kerr	
Forceful 	Yehudi	
Honesty 	Rudolf	
Brutal 	Mortimer	
Inventive 	Tom	
Competent 	Magee	
Cynical 	Wayne	
Just 	Norton	
Honey 	Kelly	
Aggressive 	Jared	
Evil 	Marshall	
Ambitious 	Nick	
Cynical 	Andy	
Discreet 	Rupert	
Brave 	Jonas	
Methodical 	Abner	
Logical 	Conrad	
Careless 	Edmund	
Dutiful 	Earl	
Expressive 	Arvin	
Honest 	Sebastian	
Logical 	Prescott	
Aspiring 	Chasel	
Rapture 	Larry	
Humorous 	Kerwin	
Honey 	Abel	
Qualified 	Jack	
Coward 	Quinn	
Original 	Kim	
Initiative 	Mark	
Creative 	Louis	
Good 	Wendell	
Objective 	Hugh	
Crappy 	Wythe	
Dishonest 	Julius	
Audacious 	Mark	
Painstaking 	Kerr	
Hearty 	Luther	
Amicable 	Dwight	
Responsible 	Noah	
Humble 	Drew	
Charitable 	Lyle	
Beautiful 	Todd	
Precise 	Raymond	
Modest 	Francis	
Genteel 	Winston	
Expressive 	Haley	
Forceful 	Levi	
Crummy 	Roy	
Romantic 	Mick	
Cunning 	Hogan	
Generous 	Hayden	
Violent 	Abel	
Alert 	Virgil	
Motivated 	Carl	
Careless 	Herman	
Cuckoo 	Tom	
Romantic 	Uriah	
Dependable 	Nick	
Ingenious 	Carl	
Diplomatic 	Gene	
Radient 	Ford	
